"","X","address","lon","lat"
"83","V485","191186, г.Санкт-Петербург, Гороховая улица, д. 8/13, литера А",30.3118592,59.9355856
"84","V490","191186, г.Санкт-Петербург, набережная реки Мойки, д. 18, литера Б",30.3200426,59.9404882
"85","V492","191014, г.Санкт-Петербург, Кирочная улица, д. 17, литера А",30.3545112,59.9439425
"86","V502","191119, г.Санкт-Петербург, улица Черняховского, д. 17, литера Б",30.358616,59.916835
"87","V503","г.Санкт-Петербург, Невский проспект, д. 168, литера А",30.3780296,59.9264022
"88","V503","г.Санкт-Петербург, Невский проспект, д. 168, литера А",30.3780296,59.9264022
"89","V511","198097, г.Санкт-Петербург, проспект Стачек, д. 34, к. 1, литера А",30.2697822,59.8880797
"90","V523","191011, г.Санкт-Петербург, Невский проспект, д. 44, литера А",30.333041,59.934795
"91","V529","191011, г.Санкт-Петербург, Невский проспект, д. 62, литера А",30.339699,59.933958
"92","V531","г.Санкт-Петербург, улица Маршала Захарова, д. 16, к. 1, литера А",30.16751,59.858063
"93","V553","191104, г.Санкт-Петербург, Литейный проспект, д. 53, литера А",30.347621,59.936304
"94","V560","Санкт-Петербург, город Петергоф, Эрлеровский  бульвар, д. 12/2, литера Б",29.91381,59.871995
"95","V562","192171, г.Санкт-Петербург, проспект Обуховской Обороны, д. 149, литера Ф",30.4435732,59.8838011
"96","V563","192171, г.Санкт-Петербург, проспект Обуховской Обороны, д. 149, литера Ч",30.4435732,59.8838011
"97","V569","199226, г.Санкт-Петербург, Наличная улица, д. 34, литера Б",30.228943,59.944892
"98","V572","199053, г.Санкт-Петербург, Средний проспект В.О., д. 2, литера Д",30.2836746,59.944592
"99","V573","197110, г.Санкт-Петербург, Большая Зеленина улица, д. 43, литера В",30.2824095,59.9669451
"100","V583","191023, г.Санкт-Петербург, набережная реки Фонтанки, д. 67-69, литера А",30.3303685,59.9270039
"101","V591","191002, г.Санкт-Петербург, улица Рубинштейна, д. 6, литера А",30.344587,59.9289782
"102","V597","191025, г.Санкт-Петербург, Невский проспект, д. 88, литера А",30.3519384,59.932425
"103","V624","192286, г.Санкт-Петербург, Альпийский переулок, д. 30, литера А",30.3874004,59.8543826
