"","address","lon","lat"
"65","197136, г.Санкт-Петербург, Большой  проспект П.С., д. 74, литера А",30.307451,59.963131
"66","190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",30.3161496,59.925716
"67","190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",30.3161496,59.925716
"68","190031, г.Санкт-Петербург, Садовая улица, д. 42, литера А",30.3161496,59.925716
"69","191025, г.Санкт-Петербург, Невский проспект, д. 81, литера А",30.349292,59.9325937
"70","197022, г.Санкт-Петербург, Каменноостровский проспект, д. 67, литера А",30.30474,59.974122
"71","199034, г.Санкт-Петербург, Университетская набережная, д. 21, литера В",30.288027,59.937018
"72","199034, г.Санкт-Петербург, Университетская набережная, д. 21, литера В",30.288027,59.937018
"73","190031, г.Санкт-Петербург, улица Ефимова, д. 6, литера А",30.323105,59.924667
"74","190068, г.Санкт-Петербург, набережная реки Фонтанки, д. 121, литера А",30.3112077,59.9206882
"75","193036, г.Санкт-Петербург, Лиговский проспект, д. 29, литера А",30.362009,59.933622
"76","196653, Санкт-Петербург, город Колпино, Павловская улица, д. 15а, литера А",30.586658,59.747692
"77","196084, г.Санкт-Петербург, Смоленская улица, д. 1, литера Д",30.3193593,59.9036859
"78","198005, г.Санкт-Петербург, Измайловский проспект, д. 31, литера А",30.3069585,59.9095129
"79","г.Санкт-Петербург, проспект Стачек, д. 75, литера А",30.259362,59.867189
"80","192174, г.Санкт-Петербург, проспект Александровской Фермы, д. 66а, литера А",30.451306,59.85951
"81","190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",30.316034,59.926843
"82","190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",30.316034,59.926843
"83","190031, г.Санкт-Петербург, Сенная площадь, д. 13, литера А",30.316034,59.926843
"84","191186, г.Санкт-Петербург, Невский проспект, д. 19, литера А",30.3215562,59.9357268
"85","190031, г.Санкт-Петербург, Столярный переулок, д. 18/69, литера А",30.313318,59.9263879
"86","191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",30.328878,59.934162
"87","191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",30.328878,59.934162
"88","191011, г.Санкт-Петербург, Думская улица, д. 1-3, литера А",30.328878,59.934162
"89","г.Санкт-Петербург, улица Марата, д. 80, литера В",30.341487,59.92005
"90","193168, г.Санкт-Петербург, улица Антонова-Овсеенко, д. 3, литера Н",30.458158,59.905637
"91","191023, г.Санкт-Петербург, Мучной переулок, д. 2, литера Г",30.3233392,59.9300065
"92","191011, г.Санкт-Петербург, набережная канала Грибоедова, д. 28/1, литера А",30.3258119,59.9326038
"93","199034, г.Санкт-Петербург, Университетская набережная, д. 23, литера А",30.28762,59.936894
"94","199004, г.Санкт-Петербург, 7-я линия В.О., д. 40, литера Б",30.2794851,59.9418213
"95","192071, г.Санкт-Петербург, Бухарестская улица, д. 31, к. 1, литера А",30.384408,59.865804
"96","199026, г.Санкт-Петербург, Большой проспект В.О., д. 62, литера В",30.259021,59.9321413
